Name	Price (gp)	Rarity
Spell Scroll Level 0	10	common
Ammunition +1 (each)	25	uncommon
Potion of Healing	50	common
Quaal's Feather Token Anchor	50	rare
Spell Scroll Level 1	60	common
Philter of Love	90	uncommon
Ammunition +2 (ea)	100	rare
Potion of Poison	100	uncommon
Dust of Dryness (1 pellet)	120	uncommon
Elixir of Health	120	rare
Keoghtom's Ointment (Per dose)	120	uncommon
Spell Scroll Level 2	120	uncommon
Potion of Fire Breath	150	uncommon
Potion of Greater Healing	150	uncommon
Potion of Climbing	180	common
Potion of Heroism	180	rare
Potion of Invisibility	180	very rare
Potion of Mind Reading	180	rare
Potion of Water Breathing	180	uncommon
Scroll of Protection	180	rare
Nolzur's Marvelous Pigments	200	very rare
Potion of Animal Friendship	200	uncommon
Spell Scroll Level 3	200	uncommon
Quaal's Feather Token Fan	250	rare
Quaal's Feather Token Whip	250	rare
Potion of Diminution	270	rare
Potion of Growth	270	uncommon
Dust of Disappearance	300	uncommon
Necklace of Fireballs (One bead)	300	rare
Potion of Gaseous Form	300	rare
Potion of Resistance	300	uncommon
Universal Solvent	300	legendary
Spell Scroll Level 4	320	rare
Ammunition +3 (ea)	400	very rare
Potion of Speed	400	very rare
Sovereign Glue	400	legendary
Horn of Blasting	450	rare
Potion of Superior Healing	450	very rare
Dust of Sneezing and Choking	480	uncommon
Necklace of Fireballs (Two beads)	480	rare
Oil of Slipperiness	480	uncommon
Potion of Flying	500	very rare
Arrow of Slaying (ea)	600	very rare
Spell Scroll Level 5	640	rare
Bead of Force	960	rare
Elemental Gem	960	uncommon
Necklace of Fireballs (Three beads)	960	rare
Potion of Clairvoyance	960	rare
Potion of Vitality	960	very rare
Spell Scroll Level 6	1280	very rare
Potion of Supreme Healing	1350	very rare
Chime of Opening	1500	rare
Necklace of Fireballs (Four beads)	1600	rare
Oil of Etherealness	1920	rare
Ioun Stone Absorption	2400	very rare
Spell Scroll Level 7	2560	very rare
Quaal's Feather Token Bird	3000	rare
Quaal's Feather Token Swan Boat	3000	rare
Oil of Sharpness	3200	very rare
Necklace of Fireballs (Five beads)	3840	rare
Potion of Invulnerability	3840	rare
Gem of Brightness	5000	uncommon
Spell Scroll Level 8	5120	very rare
Deck of Illusions	6120	uncommon
Necklace of Fireballs (Six beads)	7680	rare
Spell Scroll Level 9	10240	legendary
Ioun Stone Greater Absorption	31000	legendary
Rod of Absorption	50000	very rare
Talisman of Ultimate Evil	61440	legendary
Talisman of Pure Good	71680	legendary
