Name	Price (gp)	Rarity
Ivory Goat (Travail)	400	rare
Goldean Lion (ea)	600	rare
Ivory Goat(Traveling)	1000	rare
Staff of the Python	2000	uncommon
Onyx Dog	3000	rare
Silver Raven	5000	uncommon
Silver Horn ofValhalla	5600	rare
Marble Elephant	6000	rare
Bowl of Commanding Water Elementals	8000	rare
Brazier of Commanding Fire Elementals	8000	rare
Censer of Controlling Air Elementals	8000	rare
Stone of Controlling Earth Elementals	8000	rare
Brass Horn of Valhalla	8400	rare
Bronze Horn of Valhalla	11200	Very rare
Iron Horn of Valhalla	14000	legendary
Ivory Goat (Terror)	20000	rare
